gene,gene_id,scaffold,auxiliary_score,amg_flags,gene_description,module,sheet,header,subheader,potential_amg,gene_id_origin,metabolism,reference,verified,pass_score,pass_cutoff,function,stress_class,contig,in_wet,in_dry,wet_rpkm,dry_rpkm,detection
WATLvirus_00154252-cat_1_49,K00525,WATLvirus_00154252-cat_1,2,MKE,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00154252,True,False,949.3239000000001,0.0,wet only
WATLvirus_00154252-cat_1_69,K01494,WATLvirus_00154252-cat_1,2,M,dCTP deaminase [EC:3.5.4.13] [RN:R02325],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00154252,True,False,949.3239000000001,0.0,wet only
WATLvirus_00209936-cat_1_52,K09882,WATLvirus_00209936-cat_1,1,M,cobS; cobaltochelatase CobS [EC:6.6.1.2],"Cobalamin biosynthesis, precorrin2 => cobinamide",MISC,aerobic corrin ring synthesis,,True,genome_summary_form,,,,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00209936,True,False,1155.95755,0.0,wet only
WATLvirus_00209936-cat_1_105,K00525,WATLvirus_00209936-cat_1,1,MKE,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00209936,True,False,1155.95755,0.0,wet only
WATLvirus_00209936-cat_1_109,K00425,WATLvirus_00209936-cat_1,1,MK,cytochrome bd ubiquinol oxidase subunit I [EC:1.10.3.14],Cytochrome bd ubiquinol oxidase,Energy,Oxygen,,True,genome_summary_form,,,,True,True,Energy & electron transp,,WATLvirus_00209936,True,False,1155.95755,0.0,wet only
WATLvirus_00216226-cat_1_48,K00560,WATLvirus_00216226-cat_1,1,M,thymidylate synthase [EC:2.1.1.45] [RN:R02101],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00216226,True,False,1486.30353,0.0,wet only
WATLvirus_00255146-cat_1_21,K00558,WATLvirus_00255146-cat_1,2,M,DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858],Methionine degradation,Organic Nitrogen,Amino Acid,,True,genome_summary_form,,,,True,True,Amino-acid metabolism,,WATLvirus_00255146,True,False,51.039516,0.0,wet only
WATLvirus_00271544-cat_1_58,K00525,WATLvirus_00271544-cat_1,1,MKE,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00271544,True,False,64.17748,0.0,wet only
WATLvirus_00271559-cat_1_45,K00558,WATLvirus_00271559-cat_1,2,M,DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858],Methionine degradation,Organic Nitrogen,Amino Acid,,True,genome_summary_form,,,,True,True,Amino-acid metabolism,,WATLvirus_00271559,True,False,266.13193,0.0,wet only
WATLvirus_00271577-cat_1_20,K00558,WATLvirus_00271577-cat_1,2,M,DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858],Methionine degradation,Organic Nitrogen,Amino Acid,,True,genome_summary_form,,,,True,True,Amino-acid metabolism,,WATLvirus_00271577,True,False,65.80955,0.0,wet only
WATLvirus_00271592-cat_1_19,K00558,WATLvirus_00271592-cat_1,2,M,DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858],Methionine degradation,Organic Nitrogen,Amino Acid,,True,genome_summary_form,,,,True,True,Amino-acid metabolism,,WATLvirus_00271592,True,False,201.71834,0.0,wet only
WATLvirus_00297763-cat_1_60,K00525,WATLvirus_00297763-cat_1,2,MKE,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00297763,True,False,1071.3757,0.0,wet only
WATLvirus_00297763-cat_1_61,K00526,WATLvirus_00297763-cat_1,2,MKE,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00297763,True,False,1071.3757,0.0,wet only
WATLvirus_00297767-cat_1_41,K01494,WATLvirus_00297767-cat_1,1,M,dCTP deaminase [EC:3.5.4.13] [RN:R02325],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00297767,True,False,211.96504,0.0,wet only
WATLvirus_00297767-cat_1_46,K00525,WATLvirus_00297767-cat_1,1,MKE,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00297767,True,False,211.96504,0.0,wet only
WATLvirus_00297777-cat_1_19,K00525,WATLvirus_00297777-cat_1,2,MKE,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00297777,True,False,1288.7161,0.0,wet only
WATLvirus_00307730-cat_1_76,K00560,WATLvirus_00307730-cat_1,2,M,thymidylate synthase [EC:2.1.1.45] [RN:R02101],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00307730,False,False,0.0,0.0,not detected
WATLvirus_00319925-cat_1_135,K00943,WATLvirus_00319925-cat_1,2,M,dTMP kinase [EC:2.7.4.9] [RN:R02094],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00319925,False,False,0.0,0.0,not detected
WATLvirus_00320776-cat_1_72,K00943,WATLvirus_00320776-cat_1,2,M,dTMP kinase [EC:2.7.4.9] [RN:R02094],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00320776,False,True,0.0,102.71266,dry only
WATLvirus_00320776-cat_1_74,K01494,WATLvirus_00320776-cat_1,2,M,dCTP deaminase [EC:3.5.4.13] [RN:R02325],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00320776,False,True,0.0,102.71266,dry only
WATLvirus_00320776-cat_1_75,K00525,WATLvirus_00320776-cat_1,2,MKE,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00320776,False,True,0.0,102.71266,dry only
WATLvirus_00320882-cat_1_76,K01520,WATLvirus_00320882-cat_1,1,M,dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00320882,False,True,0.0,57.78453,dry only
WATLvirus_00321608-cat_1_73,K01494,WATLvirus_00321608-cat_1,2,M,dCTP deaminase [EC:3.5.4.13] [RN:R02325],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00321608,True,True,43.197647,27.53004,both
WATLvirus_00321631-cat_1_66,K01784,WATLvirus_00321631-cat_1,2,MK,GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2],"Nucleotide sugar biosynthesis, eukaryotes",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00321631,False,False,0.0,0.0,not detected
WATLvirus_00321631-cat_1_90,K01520,WATLvirus_00321631-cat_1,2,M,dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00321631,False,False,0.0,0.0,not detected
WATLvirus_00327316-cat_1_10,K00558,WATLvirus_00327316-cat_1,2,M,DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858],Methionine degradation,Organic Nitrogen,Amino Acid,,True,genome_summary_form,,,,True,True,Amino-acid metabolism,,WATLvirus_00327316,False,True,0.0,335.12106,dry only
WATLvirus_00327425-cat_1_44,K01494,WATLvirus_00327425-cat_1,1,M,dCTP deaminase [EC:3.5.4.13] [RN:R02325],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00327425,False,False,0.0,0.0,not detected
WATLvirus_00328165-cat_1_35,K01520,WATLvirus_00328165-cat_1,1,M,dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00328165,False,True,0.0,603.5344,dry only
WATLvirus_00012494-cat_1_63,PF11775,WATLvirus_00012494-cat_1,2,MK,Cobalamin biosynthesis protein CobT VWA domain,,,,,,amg_database,,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00012494,True,False,1525.2397,0.0,wet only
WATLvirus_00024523-cat_1_26,PF13385,WATLvirus_00024523-cat_1,2,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00024523,True,False,899.8193,0.0,wet only
WATLvirus_00024523-cat_1_27,PF13385,WATLvirus_00024523-cat_1,2,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00024523,True,False,899.8193,0.0,wet only
WATLvirus_00024523-cat_1_48,PF01242,WATLvirus_00024523-cat_1,2,MK,6-pyruvoyl tetrahydropterin synthase,,,,,,amg_database,,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00024523,True,False,899.8193,0.0,wet only
WATLvirus_00024523-cat_1_49,PF01227,WATLvirus_00024523-cat_1,2,MK,GTP cyclohydrolase I,,,,,,amg_database,,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00024523,True,False,899.8193,0.0,wet only
WATLvirus_00024523-cat_1_51,PF06508,WATLvirus_00024523-cat_1,2,MK,Queuosine biosynthesis protein QueC,,,,,,amg_database,,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00024523,True,False,899.8193,0.0,wet only
WATLvirus_00024523-cat_1_52,PF14489,WATLvirus_00024523-cat_1,2,MK,QueF-like protein,,,,,,amg_database,,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00024523,True,False,899.8193,0.0,wet only
WATLvirus_00036381-cat_1_44,PF01242,WATLvirus_00036381-cat_1,1,MK,6-pyruvoyl tetrahydropterin synthase,,,,,,amg_database,,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00036381,True,False,2871.6167,0.0,wet only
WATLvirus_00036381-cat_1_46,PF01227,WATLvirus_00036381-cat_1,1,MK,GTP cyclohydrolase I,,,,,,amg_database,,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00036381,True,False,2871.6167,0.0,wet only
WATLvirus_00045923_provirus_2_121232-cat_1_5,PF03567,WATLvirus_00045923_provirus_2_121232-cat_1,2,MK,Sulfotransferase family,,,,,,amg_database,,Roux et al. 2016,False,True,True,Sulfur / nitrogen,,WATLvirus_00045923_provirus_2_121232,False,False,,,not detected
WATLvirus_00045926-cat_1_43,PF02867,WATLvirus_00045926-cat_1,2,MKE,nrdA/nrdB; ribonucleotide reductase (RNR),M00053,,,,,amg_database,,Thompson et al. 2011; Sullivan et al. 2005,True,True,True,Nucleotide metabolism,,WATLvirus_00045926,True,False,1238.5949,0.0,wet only
WATLvirus_00045926-cat_1_83,PF02562,WATLvirus_00045926-cat_1,2,MK,phoH; phosphate starvation-inducible protein,,,,,,amg_database,,Zeng et al. 2012; Sullivan et al. 2005,False,True,True,Phosphate / nutrient,Phosphate starvation,WATLvirus_00045926,True,False,1238.5949,0.0,wet only
WATLvirus_00045927-cat_1_28,PF03567,WATLvirus_00045927-cat_1,1,MK,Sulfotransferase family,,,,,,amg_database,,Roux et al. 2016,False,True,True,Sulfur / nitrogen,,WATLvirus_00045927,True,False,484.29625999999996,0.0,wet only
WATLvirus_00056092-cat_1_39,PF13385,WATLvirus_00056092-cat_1,2,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00056092,True,True,954.2873,135.89857,both
WATLvirus_00060528-cat_1_33,PF02867,WATLvirus_00060528-cat_1,2,MKE,nrdA/nrdB; ribonucleotide reductase (RNR),M00053,,,,,amg_database,,Thompson et al. 2011; Sullivan et al. 2005,True,True,True,Nucleotide metabolism,,WATLvirus_00060528,True,True,172.7987,41.558212,both
WATLvirus_00114208-cat_1_14,PF02562,WATLvirus_00114208-cat_1,1,MK,phoH; phosphate starvation-inducible protein,,,,,,amg_database,,Zeng et al. 2012; Sullivan et al. 2005,False,True,True,Phosphate / nutrient,Phosphate starvation,WATLvirus_00114208,True,False,433.78643999999997,0.0,wet only
WATLvirus_00114208-cat_1_28,PF00625,WATLvirus_00114208-cat_1,1,MK,Guanylate kinase,,,,,,amg_database,,Roux et al. 2016,False,True,True,Nucleotide metabolism,,WATLvirus_00114208,True,False,433.78643999999997,0.0,wet only
WATLvirus_00114208-cat_1_53,PF02867,WATLvirus_00114208-cat_1,1,MKE,nrdA/nrdB; ribonucleotide reductase (RNR),M00053,,,,,amg_database,,Thompson et al. 2011; Sullivan et al. 2005,True,True,True,Nucleotide metabolism,,WATLvirus_00114208,True,False,433.78643999999997,0.0,wet only
WATLvirus_00154252-cat_1_54,PF00291,WATLvirus_00154252-cat_1,2,MK,Pyridoxal-phosphate dependent enzyme,,,,,,amg_database,M,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00154252,True,False,949.3239000000001,0.0,wet only
WATLvirus_00154252-cat_1_72,PF01503,WATLvirus_00154252-cat_1,2,MK,Phosphoribosyl-ATP pyrophosphohydrolase,,,,,,amg_database,M,Roux et al. 2016,False,True,True,Nucleotide metabolism,,WATLvirus_00154252,True,False,949.3239000000001,0.0,wet only
WATLvirus_00154256-cat_1_40,PF00551,WATLvirus_00154256-cat_1,2,MK,Formyl transferase,,,,,,amg_database,M,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00154256,True,False,330.23455,0.0,wet only
WATLvirus_00182562-cat_1_32,PF13385,WATLvirus_00182562-cat_1,2,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00182562,True,False,3087.9049600000003,0.0,wet only
WATLvirus_00209936-cat_1_11,PF13385,WATLvirus_00209936-cat_1,1,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00209936,True,False,1155.95755,0.0,wet only
WATLvirus_00209936-cat_1_13,PF13385,WATLvirus_00209936-cat_1,1,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00209936,True,False,1155.95755,0.0,wet only
WATLvirus_00209936-cat_1_14,PF13385,WATLvirus_00209936-cat_1,1,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00209936,True,False,1155.95755,0.0,wet only
WATLvirus_00209936-cat_1_108,PF00464,WATLvirus_00209936-cat_1,1,MK,Serine hydroxymethyltransferase,,,,,,amg_database,M,Roux et al. 2016,False,True,True,Amino-acid metabolism,,WATLvirus_00209936,True,False,1155.95755,0.0,wet only
WATLvirus_00209936-cat_1_124,PF02562,WATLvirus_00209936-cat_1,1,MK,phoH; phosphate starvation-inducible protein,,,,,,amg_database,,Zeng et al. 2012; Sullivan et al. 2005,False,True,True,Phosphate / nutrient,Phosphate starvation,WATLvirus_00209936,True,False,1155.95755,0.0,wet only
WATLvirus_00209936-cat_1_126,PF03567,WATLvirus_00209936-cat_1,1,MK,Sulfotransferase family,,,,,,amg_database,,Roux et al. 2016,False,True,True,Sulfur / nitrogen,,WATLvirus_00209936,True,False,1155.95755,0.0,wet only
WATLvirus_00212351-cat_1_26,PF01242,WATLvirus_00212351-cat_1,1,MK,6-pyruvoyl tetrahydropterin synthase,,,,,,amg_database,,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00212351,True,False,637.10691,0.0,wet only
WATLvirus_00212351-cat_1_29,PF01227,WATLvirus_00212351-cat_1,1,MK,GTP cyclohydrolase I,,,,,,amg_database,,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00212351,True,False,637.10691,0.0,wet only
WATLvirus_00216226-cat_1_14,PF09206,WATLvirus_00216226-cat_1,1,MK,"Alpha-L-arabinofuranosidase B, catalytic",,,,,,amg_database,,Roux et al. 2016,False,True,True,Carbohydrate / CAZy,,WATLvirus_00216226,True,False,1486.30353,0.0,wet only
WATLvirus_00216226-cat_1_51,PF01503,WATLvirus_00216226-cat_1,1,MK,Phosphoribosyl-ATP pyrophosphohydrolase,,,,,,amg_database,M,Roux et al. 2016,False,True,True,Nucleotide metabolism,,WATLvirus_00216226,True,False,1486.30353,0.0,wet only
WATLvirus_00216235-cat_1_12,PF02867,WATLvirus_00216235-cat_1,2,MKE,nrdA/nrdB; ribonucleotide reductase (RNR),M00053,,,,,amg_database,,Thompson et al. 2011; Sullivan et al. 2005,True,True,True,Nucleotide metabolism,,WATLvirus_00216235,True,False,1063.98094,0.0,wet only
WATLvirus_00228923-cat_1_66,PF01832,WATLvirus_00228923-cat_1,2,MK,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,,,,,,amg_database,,Roux et al. 2016,False,True,True,Carbohydrate / CAZy,,WATLvirus_00228923,True,False,473.7192,0.0,wet only
WATLvirus_00228925-cat_1_38,PF02867,WATLvirus_00228925-cat_1,2,MKE,nrdA/nrdB; ribonucleotide reductase (RNR),M00053,,,,,amg_database,,Thompson et al. 2011; Sullivan et al. 2005,True,True,True,Nucleotide metabolism,,WATLvirus_00228925,True,False,143.53987,0.0,wet only
WATLvirus_00228925-cat_1_41,PF02867,WATLvirus_00228925-cat_1,2,MKE,nrdA/nrdB; ribonucleotide reductase (RNR),M00053,,,,,amg_database,,Thompson et al. 2011; Sullivan et al. 2005,True,True,True,Nucleotide metabolism,,WATLvirus_00228925,True,False,143.53987,0.0,wet only
WATLvirus_00228935-cat_1_24,PF00132,WATLvirus_00228935-cat_1,1,MK,Bacterial transferase hexapeptide (six repeats),,,,,,amg_database,,Roux et al. 2016,False,True,True,Carbohydrate / CAZy,,WATLvirus_00228935,True,True,701.696545,3969.36668,both
WATLvirus_00228938-cat_1_28,PF02562,WATLvirus_00228938-cat_1,2,MK,phoH; phosphate starvation-inducible protein,,,,,,amg_database,,Zeng et al. 2012; Sullivan et al. 2005,False,True,True,Phosphate / nutrient,Phosphate starvation,WATLvirus_00228938,True,False,202.33275,0.0,wet only
WATLvirus_00228938-cat_1_29,PF02867,WATLvirus_00228938-cat_1,2,MKE,nrdA/nrdB; ribonucleotide reductase (RNR),M00053,,,,,amg_database,,Thompson et al. 2011; Sullivan et al. 2005,True,True,True,Nucleotide metabolism,,WATLvirus_00228938,True,False,202.33275,0.0,wet only
WATLvirus_00244322-cat_1_35,PF02562,WATLvirus_00244322-cat_1,1,MK,phoH; phosphate starvation-inducible protein,,,,,,amg_database,,Zeng et al. 2012; Sullivan et al. 2005,False,True,True,Phosphate / nutrient,Phosphate starvation,WATLvirus_00244322,True,False,1638.72105,0.0,wet only
WATLvirus_00271544-cat_1_25,PF01503,WATLvirus_00271544-cat_1,1,MK,Phosphoribosyl-ATP pyrophosphohydrolase,,,,,,amg_database,M,Roux et al. 2016,False,True,True,Nucleotide metabolism,,WATLvirus_00271544,True,False,64.17748,0.0,wet only
WATLvirus_00271544-cat_1_32,PF00291,WATLvirus_00271544-cat_1,1,MK,Pyridoxal-phosphate dependent enzyme,,,,,,amg_database,M,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00271544,True,False,64.17748,0.0,wet only
WATLvirus_00271544-cat_1_72,PF13385,WATLvirus_00271544-cat_1,1,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00271544,True,False,64.17748,0.0,wet only
WATLvirus_00271559-cat_1_20,PF13385,WATLvirus_00271559-cat_1,1,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00271559,True,False,266.13193,0.0,wet only
WATLvirus_00271562-cat_1_17,PF01370,WATLvirus_00271562-cat_1,1,MK,NAD dependent epimerase/dehydratase family,,,,,,amg_database,,Roux et al. 2016,False,True,True,Carbohydrate / CAZy,,WATLvirus_00271562,True,False,51.29671,0.0,wet only
WATLvirus_00271562-cat_1_21,PF00132,WATLvirus_00271562-cat_1,1,MK,Bacterial transferase hexapeptide (six repeats),,,,,,amg_database,,Roux et al. 2016,False,True,True,Carbohydrate / CAZy,,WATLvirus_00271562,True,False,51.29671,0.0,wet only
WATLvirus_00271562-cat_1_26,PF03446,WATLvirus_00271562-cat_1,1,MK,NAD binding domain of 6-phosphogluconate dehydrogenase,,,,,,amg_database,M,Roux et al. 2016,False,True,True,Carbohydrate / CAZy,,WATLvirus_00271562,True,False,51.29671,0.0,wet only
