gene	gene_id	scaffold	auxiliary_score	amg_flags	gene_description	module	sheet	header	subheader	potential_amg	gene_id_origin	metabolism	reference	verified
WATLvirus_00114511-cat_2_8	K01520	WATLvirus_00114511-cat_2	3	MF	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00154245-cat_1_52	K00558	WATLvirus_00154245-cat_1	2	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00154252-cat_1_49	K00525	WATLvirus_00154252-cat_1	2	MKE	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00154252-cat_1_69	K01494	WATLvirus_00154252-cat_1	2	M	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00154441-cat_2_2	K01520	WATLvirus_00154441-cat_2	3	MF	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00182701-cat_2_5	K09882	WATLvirus_00182701-cat_2	3	MF	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00188511-cat_2_11	K00558	WATLvirus_00188511-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00188597-cat_1_10	K00558	WATLvirus_00188597-cat_1	2	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00194478-cat_2_8	K00558	WATLvirus_00194478-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00194541-cat_1_7	K00558	WATLvirus_00194541-cat_1	2	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00194582-cat_2_3	K00943	WATLvirus_00194582-cat_2	3	MF	dTMP kinase [EC:2.7.4.9] [RN:R02094]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00194604-cat_2_7	K00560	WATLvirus_00194604-cat_2	3	MF	thymidylate synthase [EC:2.1.1.45] [RN:R02101]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00194662-cat_2_8	K00558	WATLvirus_00194662-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00209936-cat_1_52	K09882	WATLvirus_00209936-cat_1	1	M	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00209936-cat_1_105	K00525	WATLvirus_00209936-cat_1	1	MKE	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00209936-cat_1_109	K00425	WATLvirus_00209936-cat_1	1	MK	cytochrome bd ubiquinol oxidase subunit I [EC:1.10.3.14]	Cytochrome bd ubiquinol oxidase	Energy	Oxygen		True	genome_summary_form			
WATLvirus_00212429-cat_2_7	K00525	WATLvirus_00212429-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00212483-cat_2_3	K09882	WATLvirus_00212483-cat_2	3	MF	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00216226-cat_1_48	K00560	WATLvirus_00216226-cat_1	1	M	thymidylate synthase [EC:2.1.1.45] [RN:R02101]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00216351-cat_2_18	K00558	WATLvirus_00216351-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00216476-cat_2_3	U69	WATLvirus_00216476-cat_2	3	MF	Self-processing occurs at the Ser846|+|Ala bond.	Self-processing peptidases	Organic Nitrogen	Peptidase		True	genome_summary_form			
WATLvirus_00226623-cat_2_2	K00525	WATLvirus_00226623-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00226630-cat_2_5	K00425	WATLvirus_00226630-cat_2	3	MKF	cytochrome bd ubiquinol oxidase subunit I [EC:1.10.3.14]	Cytochrome bd ubiquinol oxidase	Energy	Oxygen		True	genome_summary_form			
WATLvirus_00226670-cat_2_3	K00943	WATLvirus_00226670-cat_2	3	MF	dTMP kinase [EC:2.7.4.9] [RN:R02094]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00229208-cat_2_5	K00525	WATLvirus_00229208-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00229240-cat_2_4	K00558	WATLvirus_00229240-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00229450-cat_2_2	K02970	WATLvirus_00229450-cat_2	3	MF	small subunit ribosomal protein S21	Ribosome, bacteria	MISC	Information systems		True	genome_summary_form			
WATLvirus_00229556-cat_2_2	K00525	WATLvirus_00229556-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00229571-cat_2_2	K00525	WATLvirus_00229571-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00229723-cat_2_6	K01520	WATLvirus_00229723-cat_2	3	MF	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00229737-cat_2_4	K00789	WATLvirus_00229737-cat_2	3	MF	S-adenosylmethionine synthetase [EC:2.5.1.6] [RN:R00177]	Cysteine biosynthesis, methionine => cysteine	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00229737-cat_2_4	K00789	WATLvirus_00229737-cat_2	3	MF	S-adenosylmethionine synthetase [EC:2.5.1.6] [RN:R00177]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00229894-cat_2_5	K00525	WATLvirus_00229894-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00244322-cat_1_39	K00525	WATLvirus_00244322-cat_1	1	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00244448-cat_2_3	K09882	WATLvirus_00244448-cat_2	3	MF	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00244452-cat_2_5	K09882	WATLvirus_00244452-cat_2	3	MF	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00244653-cat_2_3	K09882	WATLvirus_00244653-cat_2	3	MF	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00255146-cat_1_21	K00558	WATLvirus_00255146-cat_1	2	M	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00255293-cat_2_6	K00525	WATLvirus_00255293-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00255438-cat_2_14	K01520	WATLvirus_00255438-cat_2	3	MF	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00255503-cat_2_2	K01520	WATLvirus_00255503-cat_2	3	MF	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00255522-cat_2_2	K00525	WATLvirus_00255522-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00255523-cat_2_2	K00558	WATLvirus_00255523-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00255540-cat_2_4	K00525	WATLvirus_00255540-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00255740-cat_2_3	K00525	WATLvirus_00255740-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00255928-cat_2_2	K02970	WATLvirus_00255928-cat_2	3	MF	small subunit ribosomal protein S21	Ribosome, bacteria	MISC	Information systems		True	genome_summary_form			
WATLvirus_00271544-cat_1_58	K00525	WATLvirus_00271544-cat_1	1	MKE	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00271553-cat_1_2	K00943	WATLvirus_00271553-cat_1	2	MF	dTMP kinase [EC:2.7.4.9] [RN:R02094]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00271558-cat_1_3	K01520	WATLvirus_00271558-cat_1	2	MF	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00271559-cat_1_45	K00558	WATLvirus_00271559-cat_1	2	M	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00271577-cat_1_20	K00558	WATLvirus_00271577-cat_1	2	M	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00271592-cat_1_19	K00558	WATLvirus_00271592-cat_1	2	M	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00272019-cat_2_12	K09882	WATLvirus_00272019-cat_2	3	MF	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00272078-cat_2_3	K09882	WATLvirus_00272078-cat_2	3	MF	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00272131-cat_2_12	K00560	WATLvirus_00272131-cat_2	3	MF	thymidylate synthase [EC:2.1.1.45] [RN:R02101]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00272204-cat_2_2	K00525	WATLvirus_00272204-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00272263-cat_2_10	K00560	WATLvirus_00272263-cat_2	3	MF	thymidylate synthase [EC:2.1.1.45] [RN:R02101]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00272271-cat_1_5	K00558	WATLvirus_00272271-cat_1	2	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00272279-cat_2_13	K00558	WATLvirus_00272279-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00272296-cat_2_10	K00525	WATLvirus_00272296-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00272370-cat_2_10	K00558	WATLvirus_00272370-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00272458-cat_2_5	K00525	WATLvirus_00272458-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00272461-cat_2_6	K01494	WATLvirus_00272461-cat_2	3	MF	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00272462-cat_2_10	K09882	WATLvirus_00272462-cat_2	3	MF	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00272510-cat_2_6	K00525	WATLvirus_00272510-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00272570-cat_2_8	K00558	WATLvirus_00272570-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
