bin,completeness,contamination,strain_heterogeneity,length,N50,drep_cluster,drep_winner,gtdb_classification,ncbi_classification
220804_BK_C1_DNA_brine_C_bin.24,6.23,0,0,434754,3442,NA,NA,Unclassified Archaea,Unclassified Archaea
220804_BK_C1_DNA_brine_C_bin.25,54.74,4.94,22.22,1700534,4832,238_0,220804_BK_C1_DNA_brine_C_bin.25,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Rhodothermaeota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinivenus;s__
220804_BK_C1_DNA_brine_C_bin.26,30.93,1.16,100,892389,4227,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__Salinibacter;s__
220804_BK_C1_DNA_brine_C_bin.27,51.57,7.2,4.35,1952949,4409,193_0,220804_BK_C1_DNA_brine_C_bin.27,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__;s__
220804_BK_C1_DNA_brine_C_bin.28,11.03,0,0,385264,4507,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220804_BK_C1_DNA_brine_C_bin.29,26.35,0.29,0,1368910,4032,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220804_BK_C1_DNA_brine_C_bin.30,16.34,0.4,0,757147,3556,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Halorubellus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorubellus;s__
220804_BK_C1_DNA_brine_C_bin.31,84.75,0,0,1945848,12864,214_2,220804_BK_C1_DNA_brine_C_bin.31,d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__RBG-16-55-9;f__RBG-16-55-9;g__JAHEOA01;s__,d__Bacteria;p__Candidatus Bipolaricaulota;c__;o__;f__;g__;s__
220804_BK_C1_DNA_brine_C_bin.32,41.38,5.17,33.33,2408297,7090,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220804_BK_C1_DNA_brine_C_bin.33,24.84,0.93,0,1393010,4175,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__SW-7-71-33;g__SW-7-71-33;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220804_BK_C1_DNA_brine_C_bin.35,8.33,0,0,640911,3457,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220804_BK_C1_DNA_brine_C_bin.4,26.01,0.43,0,1238515,3522,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__Rhodovibrionaceae;g__Rhodovibrio;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhodovibrionaceae;g__Rhodovibrio;s__
220804_BK_C1_DNA_brine_C_bin.5,4.17,0,0,246641,3526,NA,NA,Unclassified Archaea,Unclassified Archaea
220804_BK_C1_DNA_brine_C_bin.6,7.48,0,0,294563,3112,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220804_BK_C1_DNA_brine_C_bin.7,10.75,0,0,325269,3118,NA,NA,Unclassified Archaea,Unclassified Archaea
220804_BK_C1_DNA_brine_C_bin.8,45.09,3.66,30,1549311,4599,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__
220804_BK_C1_DNA_brine_C_bin.9,0,0,0,331961,3341,NA,NA,Unclassified Archaea,Unclassified Archaea
220804_BK_C1_DNA_sed_bin.1,30.44,0.21,100,889505,3836,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__;f__;g__;s__
220804_LF_C1_DNA_sed_surface_bin.1,37.8,0,0,1007862,14397,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__SW-7-71-33;g__SW-7-71-33;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220804_LF_C1_DNA_sed_surface_bin.10,9.72,0,0,570491,3466,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220804_LF_C1_DNA_sed_surface_bin.11,8.33,0,0,1026803,3832,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220804_LF_C1_DNA_sed_surface_bin.12,25.7,0.93,0,943751,4044,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__;s__
220804_LF_C1_DNA_sed_surface_bin.13,27.57,0,0,939349,3616,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__SW-9-67-25;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220804_LF_C1_DNA_sed_surface_bin.15,24.14,1.72,0,1705720,3418,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Citreimonas;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Citreimonas;s__
220804_LF_C1_DNA_sed_surface_bin.2,0,0,0,388482,4164,NA,NA,Unclassified,Unclassified
220804_LF_C1_DNA_sed_surface_bin.3,37.92,0.93,0,1321579,5295,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Salinirussus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Salinirussus;s__
220804_LF_C1_DNA_sed_surface_bin.4,52.08,0.43,0,1739364,4368,494_0,220804_LF_C1_DNA_sed_surface_bin.4,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__Rhodovibrionaceae;g__CAJXKW01;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhodovibrionaceae;g__Limimonas;s__
220804_LF_C1_DNA_sed_surface_bin.6,67.18,1.69,100,1304209,5187,214_2,220804_BK_C1_DNA_brine_C_bin.31,d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__RBG-16-55-9;f__RBG-16-55-9;g__JAHEOA01;s__,d__Bacteria;p__Candidatus Bipolaricaulota;c__;o__;f__;g__;s__
220804_LF_C1_DNA_sed_surface_bin.9,4.17,0,0,280637,3024,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_BK_F1_DNA_brine_bin.1,24.06,0,0,547268,3884,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_BK_F1_DNA_brine_bin.2,35.67,0.34,0,897824,3566,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Oleiagrimonas;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Oleiagrimonas;s__
220805_BK_F1_DNA_brine_bin.3,69.9,1.63,20,1366214,9429,223_1,220813_JW_F25_DNA_Brine_A_bin.3,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_BK_F1_DNA_brine_bin.4,79.36,1.71,0,2540652,6480,91_1,220805_BK_F1_DNA_brine_bin.4,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__;s__,d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__
220805_BK_F1_DNA_brine_bin.6,4.43,0,0,6103662,3152,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_BK_F1_DNA_sed_bin.10,9.81,0,0,330328,3400,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_BK_F1_DNA_sed_bin.11,66.47,3.97,0,1577924,4516,5_0,220805_BK_F1_DNA_sed_bin.11,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__SMO-BIN1;s__,d__Bacteria;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae;g__;s__
220805_BK_F1_DNA_sed_bin.12,25.23,5.14,14.29,1576143,3508,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_BK_F1_DNA_sed_bin.2,75.51,1.46,44.44,1472770,5724,224_1,220806_MW_S6_DNA_sed_bin.16,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_BK_F1_DNA_sed_bin.4,33.39,0.38,33.33,1120167,3601,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__;g__;s__
220805_BK_F1_DNA_sed_bin.5,75.38,1.7,0,2075467,5990,179_1,220806_MW_S6_DNA_sed_bin.5,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__
220805_BK_F1_DNA_sed_bin.6,6.07,0,0,387808,3413,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_BK_F1_DNA_sed_bin.7,3.74,0,0,3052038,3935,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_BK_F1_DNA_sed_bin.8,39.41,0,0,1372369,4386,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__
220805_BK_F1_DNA_sed_bin.9,16.93,0,0,532625,3191,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__;s__
220805_BK_F3_DNA_brine_C_bin.1,4.17,0,0,385961,11106,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_BK_F3_DNA_brine_C_bin.10,27.1,0,0,639832,3851,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_BK_F3_DNA_brine_C_bin.12,29,0.43,100,870535,3251,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__
220805_BK_F3_DNA_brine_C_bin.14,0,0,0,334069,5300,NA,NA,Unclassified,Unclassified
220805_BK_F3_DNA_brine_C_bin.15,0,0,0,457039,9717,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_BK_F3_DNA_brine_C_bin.2,44.61,1.84,50,915249,5695,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_BK_F3_DNA_brine_C_bin.3,44.46,0.93,100,1459672,5306,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_BK_F3_DNA_brine_C_bin.4,1.01,0,0,2939942,3016,NA,NA,Unclassified,Unclassified
220805_BK_F3_DNA_brine_C_bin.6,38.01,1.65,100,686040,4637,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_BK_F3_DNA_brine_C_bin.9,2.97,0.53,25,420111,5924,NA,NA,Unclassified,Unclassified
220805_BK_F3_DNA_sed_bin.1,83.86,44.61,83.5,4074949,8102,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_BK_F3_DNA_sed_bin.11,96.2,0,0,3434657,16802,527_0,220805_BK_F3_DNA_sed_bin.11,d__Bacteria;p__Bacillota;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__JAIMBT01;s__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus;s__
220805_BK_F3_DNA_sed_bin.13,29.76,0.7,0,956869,3501,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA5335;f__UBA5335;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__;g__;s__
220805_BK_F3_DNA_sed_bin.14,89.78,0.79,0,2593133,9094,528_0,220805_BK_F3_DNA_sed_bin.14,d__Bacteria;p__Bacillota;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__JAKAXI01;s__,d__Bacteria;p__Firmicutes;c__;o__;f__;g__;s__
220805_BK_F3_DNA_sed_bin.15,89.73,2.62,30,2763397,15176,262_0,220805_BK_F3_DNA_sed_bin.15,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__Salinisphaera;s__
220805_BK_F3_DNA_sed_bin.16,65.32,1.49,75,2230954,5665,480_2,220805_BK_F3_DNA_sed_bin.16,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__;s__
220805_BK_F3_DNA_sed_bin.17,100,79.87,19.16,10260321,13109,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__;g__;s__
220805_BK_F3_DNA_sed_bin.18,73.86,2,66.67,1659983,6353,225_1,220805_BK_F3_DNA_sed_bin.18,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_BK_F3_DNA_sed_bin.19,93.16,3.73,38.46,5848922,14954,375_0,220805_BK_F3_DNA_sed_bin.19,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__,d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
220805_BK_F3_DNA_sed_bin.2,43.88,0,0,1340433,4227,NA,NA,d__Bacteria;p__Bacillota_E;c__DVGY01;o__;f__;g__;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__;f__;g__;s__
220805_BK_F3_DNA_sed_bin.20,89.96,0.57,0,3645122,28425,218_0,220805_BK_F3_DNA_sed_bin.20,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__,d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__
220805_BK_F3_DNA_sed_bin.21,0,0,0,929209,5709,NA,NA,Unclassified,Unclassified
220805_BK_F3_DNA_sed_bin.22,4.17,0,0,445671,3499,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA2770;f__;g__;s__,d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__
220805_BK_F3_DNA_sed_bin.23,0,0,0,560546,8673,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_BK_F3_DNA_sed_bin.24,100,7.52,0,2587910,37993,373_0,220805_BK_F3_DNA_sed_bin.24,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Ectothiorhodospirales_A;f__Acidihalobacteraceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__
220805_BK_F3_DNA_sed_bin.26,36.91,0,0,694742,3899,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_BK_F3_DNA_sed_bin.29,97.79,2.48,27.59,3655655,23822,497_0,220805_BK_F3_DNA_sed_bin.29,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Mangrovitalea;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinobacteraceae;g__Mangrovitalea;s__
220805_BK_F3_DNA_sed_bin.3,6.11,0,0,283479,3898,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_BK_F3_DNA_sed_bin.30,75.14,6.15,7.69,2699564,8477,91_2,220805_BK_F3_DNA_sed_bin.30,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__;s__,d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__
220805_BK_F3_DNA_sed_bin.32,0,0,0,961734,5237,NA,NA,Unclassified,Unclassified
220805_BK_F3_DNA_sed_bin.5,85.01,0.77,60,2498367,48936,313_1,220805_BK_F3_DNA_sed_bin.5,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SLND01;f__;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
220805_BK_F3_DNA_sed_bin.6,82.22,1.18,0,2446219,17665,529_0,220805_BK_F3_DNA_sed_bin.6,d__Bacteria;p__Bacillota;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__SO9;s__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus;s__
220805_BK_F3_DNA_sed_bin.7,0,0,0,353200,3686,NA,NA,Unclassified,Unclassified
220805_BK_F3_DNA_sed_bin.8,0,0,0,512764,46459,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S1_DNA_Brine_bin.10,30.23,0.8,100,612730,3195,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_MW_S1_DNA_Brine_bin.11,39.77,1.45,80,1058513,2591,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S1_DNA_Brine_bin.12,63.87,2.36,71.43,1511279,4056,174_1,220806_MW_S1_DNA_NextDay_A_bin.5,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S1_DNA_Brine_bin.13,0,0,0,220033,3568,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_Brine_bin.14,73.65,48.17,9.64,3253625,3937,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__A07HB70;s__,d__Archaea;p__;c__;o__;f__;g__;s__
220805_MW_S1_DNA_Brine_bin.2,89.66,10.11,0,3375138,8318,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220805_MW_S1_DNA_Brine_bin.4,81.83,1.22,22.22,2518915,7617,478_1,220816_LF_B4_DNA_brine_C_bin.6,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Salibaculum;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Salibaculum;s__
220805_MW_S1_DNA_Brine_bin.5,72.61,7.03,3.23,1855518,25918,372_2,220816_LF_B4_DNA_brine_C_bin.7,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__Spiribacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__
220805_MW_S1_DNA_Brine_bin.6,67.13,4.26,0,2645496,6980,251_1,220815_LF_B3_DNA_brine_A_bin.25,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220805_MW_S1_DNA_Brine_bin.7,0,0,0,457038,3538,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S1_DNA_Brine_bin.8,82.29,8.74,20,2518325,7050,161_1,220808_BK_F13_DNA_brine_C_bin.19,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__,d__Archaea;p__;c__;o__;f__;g__;s__
220805_MW_S1_DNA_Brine_bin.9,94.64,1.93,16.67,2178059,35948,223_2,220805_MW_S1_DNA_Brine_bin.9,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_MW_S1_DNA_T4_Sed_A_bin.1,49.59,5.99,95.35,1429705,3320,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Oleiagrimonas;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Oleiagrimonas;s__
220805_MW_S1_DNA_T4_Sed_A_bin.2,0,0,0,265330,3029,NA,NA,Unclassified,Unclassified
