metagenome_origin	seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1750649_length_81_cov_4.961538	81	No terminal repeats	1	11	0.9156	NA	1	1.154	NA	NA
220808_BK_F14_DNA_mat_dualtone_contigs_plasmid_summary.tsv	NODE_1921327_length_81_cov_3.230769	81	No terminal repeats	1	11	0.9519	NA	1	1.6999	T_virB2	NA
220812_MW_F9_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_739568_length_82_cov_6.518519	82	No terminal repeats	1	11	0.7046	NA	1	0.9934	NA	NA
220816_LF_B7_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1582507_length_82_cov_3.259259	82	No terminal repeats	1	11	0.8082	NA	1	1.314	T_virB3	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1431903_length_82_cov_27.370370	82	No terminal repeats	1	11	0.8523	NA	1	1.314	T_virB3	NA
220816_LF_B7_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1582456_length_82_cov_3.444444	82	No terminal repeats	1	11	0.9507	NA	1	1.6999	T_virB2	NA
220806_MW_S6_DNA_sed_contigs_plasmid_summary.tsv	NODE_454801_length_83_cov_7.607143	83	No terminal repeats	1	11	0.7076	NA	1	0.9934	NA	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1385392_length_83_cov_37.750000	83	No terminal repeats	1	11	0.7906	NA	1	1.314	T_virB3	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1431082_length_83_cov_22.285714	83	No terminal repeats	1	11	0.7906	NA	1	1.314	T_virB3	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1385762_length_83_cov_2.678571	83	No terminal repeats	1	11	0.7912	NA	1	1.314	T_virB3	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1385379_length_83_cov_42.678571	83	No terminal repeats	1	11	0.7924	NA	1	1.314	T_virB3	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1431068_length_83_cov_24.678571	83	No terminal repeats	1	11	0.7924	NA	1	1.314	T_virB3	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1430983_length_83_cov_61.285714	83	No terminal repeats	1	11	0.7944	NA	1	1.314	T_virB3	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1431016_length_83_cov_43.214286	83	No terminal repeats	1	11	0.8006	NA	1	1.314	T_virB3	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1431049_length_83_cov_30.071429	83	No terminal repeats	1	11	0.8081	NA	1	1.314	T_virB3	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1384677_length_84_cov_9.793103	84	No terminal repeats	1	11	0.7711	NA	1	1.314	T_virB3	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1430322_length_84_cov_10.758621	84	No terminal repeats	1	11	0.7711	NA	1	1.314	T_virB3	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1384881_length_84_cov_5.827586	84	No terminal repeats	1	11	0.791	NA	1	1.314	T_virB3	NA
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1738040_length_85_cov_9.766667	85	No terminal repeats	1	11	0.9244	NA	1	1.154	NA	NA
220805_BK_F3_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_669900_length_86_cov_3.161290	86	No terminal repeats	1	11	0.7078	NA	1	0.9934	NA	NA
220809_MW_S9_DNA_sed_contigs_plasmid_summary.tsv	NODE_1576533_length_86_cov_4.000000	86	No terminal repeats	1	11	0.7154	NA	1	0.9934	NA	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1354423_length_87_cov_6.375000	87	No terminal repeats	1	11	0.9516	NA	1	1.6999	T_virB2	NA
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1725017_length_90_cov_6.542857	90	No terminal repeats	1	11	0.9286	NA	1	1.154	NA	NA
220808_BK_F14_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1927599_length_92_cov_10.486486	92	No terminal repeats	1	11	0.9273	NA	1	1.154	NA	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1422071_length_94_cov_28.923077	94	No terminal repeats	1	11	0.8312	NA	1	1.314	T_virB3	NA
220808_BK_F13_DNA_sed_beige_contigs_plasmid_summary.tsv	NODE_1504587_length_94_cov_1.230769	94	No terminal repeats	1	11	0.9383	NA	1	1.7118	NA	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1376338_length_94_cov_7.076923	94	No terminal repeats	1	11	0.9503	NA	1	1.6999	T_virB2	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1345034_length_97_cov_4.000000	97	No terminal repeats	1	11	0.8574	NA	1	1.314	T_virB3	NA
220806_MW_S1_DNA_NextDay_A_contigs_plasmid_summary.tsv	NODE_635757_length_97_cov_16.428571	97	No terminal repeats	1	11	0.9524	NA	1	1.7016	NA	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_1045233_length_97_cov_5.952381	97	No terminal repeats	1	11	0.954	NA	1	1.7016	NA	NA
220812_MW_F9_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_716464_length_98_cov_14.116279	98	No terminal repeats	1	11	0.7064	NA	1	0.9934	NA	NA
220805_BK_F3_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_642807_length_100_cov_2.822222	100	No terminal repeats	1	11	0.7021	NA	1	0.9934	NA	NA
220807_BK_F8_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1658921_length_100_cov_3.422222	100	No terminal repeats	1	11	0.7441	NA	1	0.9934	NA	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1371914_length_100_cov_22.844444	100	No terminal repeats	1	11	0.7546	NA	1	1.314	T_virB3	NA
220808_BK_F15_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_3265831_length_100_cov_4.111111	100	No terminal repeats	1	11	0.8461	NA	1	1.314	T_virB3	NA
220808_BK_F14_DNA_mat_dualtone_contigs_plasmid_summary.tsv	NODE_1900332_length_100_cov_9.577778	100	No terminal repeats	1	11	0.9449	NA	1	0.9172	NA	NA
220809_MW_S9_DNA_sed_contigs_plasmid_summary.tsv	NODE_1564241_length_101_cov_46.195652	101	No terminal repeats	1	11	0.7041	NA	1	0.9934	NA	NA
220815_LF_B1_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_495142_length_101_cov_42.521739	101	No terminal repeats	1	11	0.9115	NA	1	1.154	NA	NA
220805_BK_F3_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_637378_length_102_cov_77.702128	102	No terminal repeats	1	11	0.7259	NA	1	0.9934	NA	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1339960_length_103_cov_2.541667	103	No terminal repeats	1	11	0.7925	NA	1	1.314	T_virB3	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_2525957_length_103_cov_18.208333	103	No terminal repeats	1	11	0.9195	NA	1	1.5057	F_traL	NA
220816_LF_B7_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1549765_length_105_cov_4.360000	105	No terminal repeats	1	11	0.7734	NA	1	1.314	T_virB3	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1415045_length_105_cov_8.180000	105	No terminal repeats	1	11	0.812	NA	1	1.314	T_virB3	NA
220812_MW_F9_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_704669_length_106_cov_5.215686	106	No terminal repeats	1	11	0.7199	NA	1	0.9934	NA	NA
220816_LF_B7_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1548092_length_106_cov_11.470588	106	No terminal repeats	1	11	0.7497	NA	1	1.314	T_virB3	NA
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1687857_length_106_cov_4.156863	106	No terminal repeats	1	11	0.9013	NA	1	1.154	NA	NA
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1687295_length_106_cov_10.098039	106	No terminal repeats	1	11	0.9238	NA	1	1.154	NA	NA
220812_MW_F9_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_699916_length_108_cov_7.094340	108	No terminal repeats	1	11	0.7088	NA	1	0.9934	NA	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1334143_length_109_cov_1.574074	109	No terminal repeats	1	11	0.9291	NA	1	1.7118	NA	NA
220807_BK_F8_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1647610_length_111_cov_4.803571	111	No terminal repeats	1	11	0.7166	NA	1	0.9934	NA	NA
220809_MW_S9_DNA_sed_contigs_plasmid_summary.tsv	NODE_1554370_length_111_cov_5.446429	111	No terminal repeats	1	11	0.7178	NA	1	0.9934	NA	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1362356_length_111_cov_24.767857	111	No terminal repeats	1	11	0.7645	NA	1	1.314	T_virB3	NA
220805_BK_F3_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_612932_length_111_cov_6.196429	111	No terminal repeats	1	11	0.7721	NA	1	0.9934	NA	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1410009_length_111_cov_12.892857	111	No terminal repeats	1	11	0.7759	NA	1	1.314	T_virB3	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1409918_length_111_cov_13.732143	111	No terminal repeats	1	11	0.7826	NA	1	1.314	T_virB3	NA
220809_MW_S9_DNA_BrineC_A_contigs_plasmid_summary.tsv	NODE_1213784_length_111_cov_12.964286	111	No terminal repeats	1	11	0.7837	NA	1	0.9934	NA	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1409131_length_111_cov_27.178571	111	No terminal repeats	1	11	0.7997	NA	1	1.314	T_virB3	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1362727_length_111_cov_18.839286	111	No terminal repeats	1	11	0.8003	NA	1	1.314	T_virB3	NA
220809_MW_S9_DNA_sed_contigs_plasmid_summary.tsv	NODE_1553952_length_111_cov_6.892857	111	No terminal repeats	1	11	0.8682	NA	1	0.9934	NA	NA
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1670971_length_111_cov_14.928571	111	No terminal repeats	1	11	0.9149	NA	1	1.154	NA	NA
220808_BK_F14_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1909752_length_111_cov_6.089286	111	No terminal repeats	1	11	0.9188	NA	1	1.154	NA	NA
220806_MW_S1_DNA_NextDay_A_contigs_plasmid_summary.tsv	NODE_611263_length_111_cov_21.964286	111	No terminal repeats	1	11	0.9483	NA	1	1.7016	NA	NA
220812_MW_F11_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1057038_length_111_cov_3.053571	111	No terminal repeats	1	11	0.9529	NA	1	1.6999	T_virB2	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1361782_length_111_cov_48.946429	111	No terminal repeats	1	11	0.9571	NA	1	1.6999	T_virB2	NA
220808_BK_F15_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_3260197_length_112_cov_7.526316	112	No terminal repeats	1	11	0.7951	NA	1	1.314	T_virB3	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1407925_length_112_cov_72.456140	112	No terminal repeats	1	11	0.8517	NA	1	1.314	T_virB3	NA
220808_BK_F14_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1905363_length_114_cov_1.644068	114	No terminal repeats	1	11	0.8471	NA	1	1.0283	NA	NA
220805_BK_F1_DNA_brine_contigs_plasmid_summary.tsv	NODE_1202040_length_114_cov_18.966102	114	No terminal repeats	1	11	0.8592	NA	1	0.9934	NA	NA
220812_MW_F11_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1054301_length_114_cov_6.779661	114	No terminal repeats	1	11	0.9523	NA	1	1.6999	T_virB2	NA
220808_BK_F9_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_1600103_length_114_cov_2.508475	114	No terminal repeats	1	15	0.9556	NA	1	1.4225	NA	NA
220806_BK_F6E_DNA_brine_contigs_plasmid_summary.tsv	NODE_1162669_length_115_cov_7.033333	115	No terminal repeats	1	11	0.8354	NA	1	1.314	T_virB3	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_2509876_length_115_cov_12.283333	115	No terminal repeats	1	11	0.9576	NA	1	1.6385	NA	NA
220813_LF_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_379466_length_115_cov_9.300000	115	No terminal repeats	1	11	0.9636	NA	1	1.6805	NA	NA
220808_BK_F14_DNA_mat_dualtone_contigs_plasmid_summary.tsv	NODE_1880318_length_115_cov_55.450000	115	No terminal repeats	1	11	0.972	NA	1	1.6385	NA	NA
220808_BK_F14_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1903507_length_116_cov_32.852459	116	No terminal repeats	1	11	0.8344	NA	1	1.154	NA	NA
220808_BK_F14_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1903543_length_116_cov_19.262295	116	No terminal repeats	1	11	0.9141	NA	1	1.154	NA	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1358712_length_117_cov_48.096774	117	No terminal repeats	1	11	0.7799	NA	1	1.314	T_virB3	NA
220809_MW_S9_DNA_BrineC_A_contigs_plasmid_summary.tsv	NODE_1197546_length_117_cov_10.064516	117	No terminal repeats	1	11	0.867	NA	1	0.9934	NA	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1324446_length_117_cov_1.596774	117	No terminal repeats	1	11	0.9084	NA	1	1.7118	NA	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1358786_length_117_cov_24.870968	117	No terminal repeats	1	11	0.9478	NA	1	1.6999	T_virB2	NA
220808_BK_F12_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1253047_length_120_cov_2.600000	120	No terminal repeats	1	11	0.7334	NA	1	0.9934	NA	NA
220809_MW_S9_DNA_sed_contigs_plasmid_summary.tsv	NODE_1546257_length_120_cov_33.815385	120	No terminal repeats	1	11	0.8437	NA	1	0.9934	NA	NA
220816_LF_B7_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1534361_length_120_cov_3.646154	120	No terminal repeats	1	11	0.9513	NA	1	1.6999	T_virB2	NA
220808_BK_F14_DNA_mat_pink_contigs_plasmid_summary.tsv	NODE_1352151_length_122_cov_4.447761	122	No terminal repeats	1	11	0.8977	NA	1	1.1426	NA	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1321247_length_122_cov_2.641791	122	No terminal repeats	1	11	0.9547	NA	1	1.5654	NA	NA
220812_MW_F9_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_677660_length_123_cov_24.117647	123	No terminal repeats	1	11	0.714	NA	1	0.9934	NA	NA
220816_LF_B7_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1532661_length_123_cov_3.044118	123	No terminal repeats	1	11	0.7955	NA	1	1.314	T_virB3	NA
220806_MW_S6_DNA_sed_contigs_plasmid_summary.tsv	NODE_419865_length_123_cov_5.676471	123	No terminal repeats	1	11	0.9276	NA	1	0.9172	NA	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_2504284_length_123_cov_15.029412	123	No terminal repeats	1	11	0.9629	NA	1	1.6385	NA	NA
220809_MW_S9_DNA_sed_contigs_plasmid_summary.tsv	NODE_1544630_length_124_cov_2.768116	124	No terminal repeats	1	11	0.7168	NA	1	0.9934	NA	NA
220806_MW_S6_DNA_sed_contigs_plasmid_summary.tsv	NODE_419188_length_124_cov_15.130435	124	No terminal repeats	1	11	0.9081	NA	1	0.9172	NA	NA
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1647102_length_124_cov_35.463768	124	No terminal repeats	1	11	0.9199	NA	1	1.154	NA	NA
220805_BK_F3_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_588799_length_125_cov_5.271429	125	No terminal repeats	1	11	0.705	NA	1	0.9934	NA	NA
220806_MW_S6_DNA_sed_contigs_plasmid_summary.tsv	NODE_418297_length_126_cov_13.225352	126	No terminal repeats	1	11	0.8775	NA	1	0.9934	NA	NA
220816_LF_B7_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1530927_length_126_cov_3.718310	126	No terminal repeats	1	11	0.9465	NA	1	1.6999	T_virB2	NA
220809_MW_S9_DNA_sed_contigs_plasmid_summary.tsv	NODE_1542777_length_128_cov_4.301370	128	No terminal repeats	1	11	0.7052	NA	1	0.9934	NA	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_4174634_length_128_cov_18.821918	128	No terminal repeats	1	11	0.907	NA	1	1.1426	NA	NA
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1641658_length_129_cov_12.864865	129	No terminal repeats	1	11	0.7087	NA	1	0.9934	NA	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1354527_length_129_cov_15.391892	129	No terminal repeats	1	11	0.7705	NA	1	1.314	T_virB3	NA
220806_MW_S6_DNA_sed_contigs_plasmid_summary.tsv	NODE_417151_length_129_cov_3.648649	129	No terminal repeats	1	11	0.9151	NA	1	0.9172	NA	NA
220805_BK_F3_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_582736_length_130_cov_23.760000	130	No terminal repeats	1	11	0.7078	NA	1	0.9934	NA	NA
220807_BK_F8_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1631761_length_131_cov_5.736842	131	No terminal repeats	1	11	0.7373	NA	1	0.9934	NA	NA
220808_BK_F14_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1895524_length_131_cov_64.263158	131	No terminal repeats	1	11	0.9101	NA	1	1.154	NA	NA
220811_JW_F21_DNA_Brine_contigs_plasmid_summary.tsv	NODE_535020_length_132_cov_17.116883	132	No terminal repeats	1	15	0.9565	NA	1	1.4225	NA	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1315119_length_133_cov_7.153846	133	No terminal repeats	1	11	0.746	NA	1	1.314	T_virB3	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_2496769_length_135_cov_60.925000	135	No terminal repeats	1	11	0.7087	NA	1	1.0656	NA	NA
220812_MW_F9_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_668843_length_135_cov_7.375000	135	No terminal repeats	1	11	0.7457	NA	1	0.9934	NA	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_2496936_length_135_cov_11.887500	135	No terminal repeats	1	11	0.7464	NA	1	1.0656	NA	NA
220812_MW_F11_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1048833_length_135_cov_10.275000	135	No terminal repeats	1	11	0.802	NA	1	1.314	T_virB3	NA
220809_MW_S9_DNA_sed_contigs_plasmid_summary.tsv	NODE_1539149_length_136_cov_9.160494	136	No terminal repeats	1	11	0.8509	NA	1	0.9934	NA	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1352181_length_136_cov_92.037037	136	No terminal repeats	1	11	0.9518	NA	1	1.6999	T_virB2	NA
220808_BK_F15_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_3252830_length_137_cov_4.304878	137	No terminal repeats	1	11	0.8396	NA	1	1.314	T_virB3	NA
220816_LF_B7_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1524018_length_139_cov_5.976190	139	No terminal repeats	1	11	0.7302	NA	1	1.7156	NA	NA
220812_MW_F11_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1047981_length_139_cov_6.595238	139	No terminal repeats	1	11	0.8256	NA	1	1.314	T_virB3	NA
220806_BK_F6E_DNA_mat_orange_contigs_plasmid_summary.tsv	NODE_1709523_length_140_cov_17.070588	140	No terminal repeats	1	11	0.7792	NA	1	1.7156	NA	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1351034_length_140_cov_59.105882	140	No terminal repeats	1	11	0.791	NA	1	1.7156	NA	NA
220816_LF_B4_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_885406_length_140_cov_4.647059	140	No terminal repeats	1	11	0.9107	NA	1	1.4409	F_traL	NA
220807_MW_S8_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_3351400_length_141_cov_5.651163	141	No terminal repeats	1	11	0.7587	NA	1	1.7156	NA	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1311225_length_141_cov_12.151163	141	No terminal repeats	1	11	0.7682	NA	1	1.7156	NA	NA
220808_BK_F13_DNA_mat_brick_1_contigs_plasmid_summary.tsv	NODE_1810362_length_142_cov_13.494253	142	No terminal repeats	1	11	0.7477	NA	1	1.7156	NA	NA
220807_BK_F8_DNA_plankton_contigs_plasmid_summary.tsv	NODE_1216565_length_143_cov_11.045455	143	No terminal repeats	1	11	0.7099	NA	1	0.9934	NA	NA
220806_BK_F6E_DNA_brine_contigs_plasmid_summary.tsv	NODE_1153315_length_143_cov_13.693182	143	No terminal repeats	1	11	0.735	NA	1	1.7156	NA	NA
220806_BK_F6E_DNA_brine_contigs_plasmid_summary.tsv	NODE_1153424_length_143_cov_3.681818	143	No terminal repeats	1	11	0.7828	NA	1	1.7156	NA	NA
220816_LF_B7_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1522180_length_143_cov_3.590909	143	No terminal repeats	1	11	0.7867	NA	1	1.7156	NA	NA
220806_BK_F6E_DNA_mat_brown_contigs_plasmid_summary.tsv	NODE_1286905_length_144_cov_6.325843	144	No terminal repeats	1	11	0.7494	NA	1	1.7156	NA	NA
220806_BK_F6E_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_1186614_length_144_cov_35.797753	144	No terminal repeats	1	11	0.7528	NA	1	1.7156	NA	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1349841_length_144_cov_28.606742	144	No terminal repeats	1	11	0.9434	NA	1	1.6999	T_virB2	NA
220808_BK_F14_DNA_mat_dualtone_contigs_plasmid_summary.tsv	NODE_1861422_length_144_cov_45.966292	144	No terminal repeats	1	11	0.9618	NA	1	1.6385	NA	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1396931_length_145_cov_36.066667	145	No terminal repeats	1	11	0.7442	NA	1	1.7156	NA	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1349493_length_145_cov_57.288889	145	No terminal repeats	1	11	0.8402	NA	1	1.314	T_virB3	NA
220809_MW_S9_DNA_BrineB_A_contigs_plasmid_summary.tsv	NODE_574526_length_146_cov_7.076923	146	No terminal repeats	1	11	0.788	NA	1	0.9934	NA	NA
