metagenome_origin	seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
220812_MW_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_1926_length_4740_cov_10.271291	4740	No terminal repeats	6	11	0.949	NA	1	4.0064	I_traI	NA
220816_LF_B4_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1604_length_5267_cov_8.332118	5267	No terminal repeats	7	11	0.7945	NA	1	2.2881	I_traI	NA
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1794_length_5979_cov_10.937373	5979	No terminal repeats	8	11	0.9206	NA	1	2.2881	I_traI	NA
220805_MW_S3_DNA_Brine_contigs_plasmid_summary.tsv	NODE_1962_length_5951_cov_7.737788	5951	No terminal repeats	6	11	0.811	NA	1	4.9168	I_traI;I_traK	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_829_length_10092_cov_5.735180	10092	No terminal repeats	13	11	0.9684	NA	1	3.1892	I_traI;I_traK	NA
220807_BK_F8_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_168_length_22136_cov_22.605000	22136	No terminal repeats	22	11	0.9554	NA	3	5.7307	I_traI;T_virB11;I_traK	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_1017_length_9028_cov_8.258442	9028	No terminal repeats	9	11	0.8265	NA	1	2.6702	I_traK	NA
220812_MW_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_4193_length_2739_cov_5.418033	2739	No terminal repeats	5	11	0.8809	NA	2	2.1481	I_traK;I_traI	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_3777_length_3013_cov_4.079784	3013	No terminal repeats	5	11	0.9457	NA	2	3.2855	I_traK;I_traI	NA
220805_MW_S3_DNA_Brine_contigs_plasmid_summary.tsv	NODE_4048_length_3942_cov_11.730383	3942	No terminal repeats	6	11	0.9092	NA	1	4.619	I_traK;I_traI	NA
220806_MW_S6_DNA_Brine_contigs_plasmid_summary.tsv	NODE_950_length_6798_cov_9.033368	6798	No terminal repeats	7	11	0.8461	NA	2	0.9239	I_traM;I_traN	NA
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1930_length_5708_cov_12.154962	5708	No terminal repeats	7	11	0.8615	NA	1	2.252	I_traM;I_traN;I_traQ	NA
220807_BK_F8_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_37_length_36970_cov_25.451334	36970	No terminal repeats	36	11	0.9595	NA	4	2.2182	I_traM;I_traN;traU	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_3560_length_2159_cov_3.879278	2159	No terminal repeats	3	11	0.9254	NA	1	1.1462	I_traN	NA
220806_MW_S6_DNA_Brine_contigs_plasmid_summary.tsv	NODE_7742_length_2210_cov_3.264037	2210	No terminal repeats	4	11	0.7506	NA	1	1.1515	I_traN	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_2780_length_2675_cov_5.318321	2675	No terminal repeats	3	11	0.8315	NA	1	1.6857	I_traN	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_4334_length_2783_cov_4.328079	2783	No terminal repeats	3	11	0.913	NA	1	1.1515	I_traN	NA
220805_BK_F3_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_3419_length_2956_cov_4.102034	2956	No terminal repeats	3	11	0.8894	NA	1	1.1515	I_traN	NA
220812_MW_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_2620_length_3864_cov_8.649777	3864	No terminal repeats	4	11	0.9256	NA	1	1.1515	I_traN	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_884_length_4029_cov_5.062657	4029	No terminal repeats	3	11	0.8598	NA	1	1.1515	I_traN	NA
220808_BK_F12_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_3593_length_4089_cov_12.183937	4089	No terminal repeats	3	11	0.8626	NA	1	1.1515	I_traN	NA
220811_JW_F21_DNA_Brine_contigs_plasmid_summary.tsv	NODE_604_length_4265_cov_28.013302	4265	No terminal repeats	4	11	0.952	NA	1	1.1515	I_traN	NA
220805_BK_F3_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1160_length_4917_cov_8.821267	4917	No terminal repeats	5	11	0.9562	NA	2	2.7963	I_traN	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_115_length_10433_cov_17.954808	10433	No terminal repeats	10	11	0.8849	NA	1	1.6857	I_traN	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_12404_length_2184_cov_7.567872	2184	No terminal repeats	3	11	0.9132	NA	1	1.566	I_traN;I_traM	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_768_length_10620_cov_5.214103	10620	No terminal repeats	8	11	0.9649	NA	2	0.9667	I_traN;I_traM	NA
220808_BK_F9_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_134_length_9503_cov_12.898074	9503	No terminal repeats	9	11	0.8666	NA	1	0.2459	I_traN;I_traQ	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_117_length_10725_cov_14.732521	10725	No terminal repeats	9	11	0.8647	NA	1	0.7802	I_traN;I_traQ	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_3719_length_3432_cov_6.339058	3432	No terminal repeats	3	11	0.7465	NA	2	2.153	I_traN;T_virB10	NA
220805_MW_S3_DNA_Brine_contigs_plasmid_summary.tsv	NODE_4670_length_3665_cov_3.957618	3665	No terminal repeats	4	11	0.8629	NA	3	3.2862	I_traO;I_traN;I_traM	NA
220816_LF_B4_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_685_length_9686_cov_9.028450	9686	No terminal repeats	10	11	0.956	NA	1	3.9703	I_traQ;I_traN;I_traM	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_1532_length_3305_cov_5.257846	3305	No terminal repeats	4	11	0.8399	NA	0	1.446	I_traW	NA
220808_BK_F9_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_1048_length_4190_cov_9.475212	4190	No terminal repeats	5	11	0.9421	NA	0	1.446	I_traW	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_129_length_10304_cov_11.989267	10304	No terminal repeats	11	11	0.8628	NA	0	2.6924	I_traW;I_traY	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_128_length_10313_cov_11.931468	10313	No terminal repeats	11	11	0.8718	NA	0	2.6924	I_traW;I_traY	NA
220808_BK_F9_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_1628_length_3460_cov_3.838473	3460	No terminal repeats	3	11	0.9363	NA	0	1.2463	I_traY	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_3006_length_4831_cov_6.547529	4831	No terminal repeats	5	11	0.7997	NA	0	0.5146	I_traY	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_477_length_5368_cov_5.330510	5368	No terminal repeats	5	11	0.879	NA	0	1.2463	I_traY	NA
220809_MW_F8_DNA_BrineB_A_contigs_plasmid_summary.tsv	NODE_1293_length_6116_cov_6.540175	6116	No terminal repeats	7	11	0.8815	NA	0	2.1735	I_traY	NA
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1298_length_7722_cov_13.005087	7722	No terminal repeats	8	11	0.8679	NA	0	2.3019	I_traY	NA
220811_JW_F21_DNA_Brine_contigs_plasmid_summary.tsv	NODE_96_length_10868_cov_16.220383	10868	No terminal repeats	13	11	0.9163	NA	0	1.7806	I_traY	NA
220811_JW_F21_DNA_Brine_contigs_plasmid_summary.tsv	NODE_67_length_13143_cov_16.008481	13143	No terminal repeats	12	11	0.8972	NA	0	1.4715	I_traY	NA
220807_BK_F8_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_484_length_14353_cov_22.924605	14353	No terminal repeats	12	11	0.9151	NA	0	2.8309	I_traY	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_309_length_6139_cov_14.772025	6139	No terminal repeats	6	11	0.9079	NA	0	2.6924	I_traY;I_traW	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_2872_length_3556_cov_4.622108	3556	No terminal repeats	5	11	0.7796	NA	1	2.3993	I_trbA	NA
220808_BK_F12_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_3688_length_4030_cov_12.859874	4030	No terminal repeats	5	11	0.9309	NA	1	2.3993	I_trbA	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_662_length_4443_cov_8.675479	4443	No terminal repeats	6	11	0.768	NA	1	2.3572	I_trbA	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_2126_length_5907_cov_5.914559	5907	No terminal repeats	6	11	0.9072	NA	1	1.189	I_trbA	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_212_length_7987_cov_5.531896	7987	No terminal repeats	6	11	0.9107	NA	1	2.8106	I_trbA	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_158_length_8655_cov_21.511512	8655	No terminal repeats	8	11	0.8881	NA	1	2.3572	I_trbA	NA
220812_MW_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_490_length_9887_cov_10.092453	9887	No terminal repeats	9	11	0.8689	NA	1	2.3572	I_trbA	NA
220811_JW_F21_DNA_Brine_contigs_plasmid_summary.tsv	NODE_102_length_10320_cov_29.531320	10320	No terminal repeats	9	11	0.8725	NA	1	2.3572	I_trbA	NA
220805_BK_F3_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_74_length_17103_cov_20.982931	17103	No terminal repeats	15	11	0.8976	NA	1	3.9788	I_trbA	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_46_length_18293_cov_16.432504	18293	No terminal repeats	17	11	0.9136	NA	1	1.0113	I_trbA	NA
220806_BK_F6E_DNA_brine_contigs_plasmid_summary.tsv	NODE_12444_length_3107_cov_10.988860	3107	No terminal repeats	4	11	0.8956	NA	0	3.0931	MOBB	NA
220816_LF_B4_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_2998_length_3448_cov_12.857648	3448	No terminal repeats	4	11	0.9919	NA	1	1.7183	MOBC	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_3498_length_2475_cov_305.530992	2475	No terminal repeats	2	11	0.8751	NA	1	1.3698	MOBH	NA
220805_BK_F3_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_3299_length_2997_cov_57.904147	2997	No terminal repeats	2	11	0.9912	NA	1	2.9014	MOBH	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_7668_length_2026_cov_14.234906	2026	No terminal repeats	2	11	0.9837	NA	2	3.1823	MOBP1	NA
220808_BK_F14_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_16870_length_2063_cov_7.447709	2063	No terminal repeats	2	11	0.823	NA	1	1.2242	MOBP1	NA
220816_LF_B6_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_2076_length_2070_cov_8.596030	2070	No terminal repeats	2	11	0.9824	NA	1	1.7183	MOBP1	NA
220811_JW_F20_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_9616_length_2071_cov_69.774306	2071	No terminal repeats	2	11	0.9882	NA	1	1.7183	MOBP1	NA
220816_LF_B4_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_7065_length_2078_cov_6.143846	2078	No terminal repeats	3	11	0.9045	NA	1	1.2242	MOBP1	NA
220806_BK_F6E_DNA_brine_contigs_plasmid_summary.tsv	NODE_19945_length_2079_cov_7.739130	2079	No terminal repeats	2	11	0.9955	NA	2	3.4339	MOBP1	NA
220811_JW_F21_DNA_Brine_contigs_plasmid_summary.tsv	NODE_3631_length_2083_cov_63.428008	2083	No terminal repeats	3	11	0.9846	NA	2	2.9406	MOBP1	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_3787_length_2105_cov_6.404390	2105	No terminal repeats	2	11	0.9926	NA	2	2.9974	MOBP1	NA
220813_JW_F25_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1893_length_2119_cov_11.975775	2119	No terminal repeats	2	11	0.9889	NA	2	2.8578	MOBP1	NA
220811_MW_F13_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_7036_length_2132_cov_6.164661	2132	No terminal repeats	3	11	0.9919	NA	2	3.0037	MOBP1	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_16720_length_2132_cov_4.265768	2132	No terminal repeats	2	11	0.995	NA	1	3.4366	MOBP1	NA
220809_MW_S9_DNA_BrineB_A_contigs_plasmid_summary.tsv	NODE_4299_length_2137_cov_13.048031	2137	No terminal repeats	2	11	0.9891	NA	2	2.8578	MOBP1	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_6910_length_2144_cov_4.372427	2144	No terminal repeats	2	11	0.9935	NA	2	3.4339	MOBP1	NA
220811_MW_F13_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_6910_length_2160_cov_7.236105	2160	No terminal repeats	3	11	0.9877	NA	2	3.4231	MOBP1	NA
220811_JW_F21_DNA_Brine_contigs_plasmid_summary.tsv	NODE_3288_length_2162_cov_139.156621	2162	No terminal repeats	2	11	0.9912	NA	2	3.0904	MOBP1	NA
220808_BK_F9_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_5081_length_2164_cov_15.833096	2164	No terminal repeats	2	11	0.9192	NA	1	1.518	MOBP1	NA
220808_BK_F13_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_12065_length_2169_cov_5.028855	2169	No terminal repeats	3	11	0.9091	NA	1	1.3112	MOBP1	NA
220807_MW_S7_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_9245_length_2173_cov_41.984419	2173	No terminal repeats	3	11	0.9572	NA	1	1.3449	MOBP1	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_5010_length_2187_cov_91.100375	2187	No terminal repeats	4	11	0.994	NA	2	3.3055	MOBP1	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_4956_length_2199_cov_6.823694	2199	No terminal repeats	3	11	0.9905	NA	2	2.9406	MOBP1	NA
220808_BK_F9_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_4804_length_2213_cov_138.681650	2213	No terminal repeats	4	11	0.9938	NA	2	3.3055	MOBP1	NA
220812_MW_F11_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_5260_length_2218_cov_9.783172	2218	No terminal repeats	1	11	0.9788	NA	1	1.7183	MOBP1	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_6425_length_2236_cov_20.927556	2236	No terminal repeats	4	11	0.9882	NA	2	2.9974	MOBP1	NA
220808_BK_F9_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_4637_length_2249_cov_49.654968	2249	No terminal repeats	2	11	0.8827	NA	1	1.3784	MOBP1	NA
220808_BK_F15_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_9847_length_2249_cov_4.494075	2249	No terminal repeats	2	11	0.9748	NA	1	1.3449	MOBP1	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_6335_length_2254_cov_6.437472	2254	No terminal repeats	2	11	0.9789	NA	1	1.7183	MOBP1	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_4520_length_2265_cov_21.738009	2265	No terminal repeats	3	11	0.9909	NA	2	2.9406	MOBP1	NA
220808_BK_F15_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_9718_length_2267_cov_25.886528	2267	No terminal repeats	2	11	0.9912	NA	1	1.7183	MOBP1	NA
220811_JW_F21_DNA_Brine_contigs_plasmid_summary.tsv	NODE_2815_length_2304_cov_24.117830	2304	No terminal repeats	5	11	0.9942	NA	2	3.6988	MOBP1	NA
220813_LF_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_2540_length_2318_cov_19.919134	2318	No terminal repeats	2	11	0.93	NA	1	1.518	MOBP1	NA
220805_BK_F3_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_5869_length_2320_cov_89.549669	2320	No terminal repeats	2	11	0.9873	NA	2	2.8578	MOBP1	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_4176_length_2324_cov_33.070075	2324	No terminal repeats	3	11	0.991	NA	2	3.207	MOBP1	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_14845_length_2339_cov_7.884413	2339	No terminal repeats	3	11	0.9684	NA	1	1.3449	MOBP1	NA
220813_LF_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_2423_length_2355_cov_18.311739	2355	No terminal repeats	2	11	0.9934	NA	2	2.9406	MOBP1	NA
220812_MW_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_5269_length_2357_cov_65.431798	2357	No terminal repeats	3	11	0.9848	NA	2	2.7339	MOBP1	NA
220806_BK_F6E_DNA_brine_contigs_plasmid_summary.tsv	NODE_17206_length_2363_cov_6.136049	2363	No terminal repeats	2	11	0.9787	NA	1	1.7183	MOBP1	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_2831_length_2368_cov_9.252054	2368	No terminal repeats	4	11	0.9874	NA	2	3.4892	MOBP1	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_3905_length_2378_cov_13.386569	2378	No terminal repeats	2	11	0.9873	NA	1	2.0532	MOBP1	NA
220813_LF_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_2233_length_2420_cov_12.218605	2420	No terminal repeats	3	11	0.9922	NA	1	2.1928	MOBP1	NA
220808_BK_F14_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_12895_length_2444_cov_19.529510	2444	No terminal repeats	2	11	0.9944	NA	1	3.4366	MOBP1	NA
220813_LF_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_2148_length_2447_cov_22.808528	2447	No terminal repeats	2	11	0.9932	NA	2	2.9406	MOBP1	NA
220812_MW_F11_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_4141_length_2473_cov_50.016129	2473	No terminal repeats	2	11	0.9954	NA	1	3.4366	MOBP1	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_2546_length_2476_cov_18.378356	2476	No terminal repeats	3	11	0.9956	NA	2	3.4892	MOBP1	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_3254_length_2534_cov_57.617588	2534	No terminal repeats	2	11	0.9942	NA	2	3.207	MOBP1	NA
220811_JW_F21_DNA_Brine_contigs_plasmid_summary.tsv	NODE_2167_length_2562_cov_16.296769	2562	No terminal repeats	2	11	0.9625	NA	1	1.3784	MOBP1	NA
220812_MW_F10_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_195_length_2568_cov_5.506168	2568	No terminal repeats	3	11	0.9879	NA	2	2.7569	MOBP1	NA
220811_JW_F21_DNA_Brine_contigs_plasmid_summary.tsv	NODE_2156_length_2571_cov_14.375199	2571	No terminal repeats	3	11	0.9846	NA	2	2.9406	MOBP1	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_2327_length_2577_cov_15.318398	2577	No terminal repeats	3	11	0.9839	NA	2	2.8578	MOBP1	NA
220805_BK_F1_DNA_brine_contigs_plasmid_summary.tsv	NODE_3450_length_2613_cov_46.642690	2613	No terminal repeats	4	11	0.894	NA	2	2.8578	MOBP1	NA
