seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_3292592	247464	No terminal repeats	210	11	0.9773	NA	0	8.7208	NA	NF033135;NF033145;NF033087;NF000438;NF033088
k141_1673501	209491	ITR	175	11	0.9806	NA	0	10.3308	NA	NF012174;NF000272
k141_2718	144067	No terminal repeats	174	11	0.9757	NA	1	0.4779	NA	NA
k141_2392885	100009	No terminal repeats	91	11	0.9678	NA	0	8.2624	NA	NA
k141_2198356	77782	No terminal repeats	78	11	0.9896	NA	0	4.786	NA	NA
k141_145429	64756	No terminal repeats	57	11	0.937	NA	0	0.8265	NA	NA
k141_504766	64527	No terminal repeats	61	11	0.878	NA	0	2.8674	NA	NF012174
k141_2684329	62191	No terminal repeats	58	11	0.94	NA	0	2.112	NA	NF033145
k141_89102	57644	No terminal repeats	55	11	0.9456	NA	0	1.7529	NA	NF033129;NF000496
k141_2351563	55653	No terminal repeats	55	11	0.8912	NA	0	1.6675	NA	NF033105
k141_1353001	53912	No terminal repeats	56	11	0.9892	NA	1	18.5445	NA	NF000402;NF000272
k141_1750265	53016	No terminal repeats	62	11	0.9868	NA	1	20.3743	NA	NF012174;NF000272
k141_1168578	50261	No terminal repeats	39	11	0.9915	NA	0	4.2112	NA	NA
k141_2456380	50147	No terminal repeats	65	11	0.9853	NA	0	6.6679	NA	NA
k141_2033864	50026	No terminal repeats	45	11	0.9318	NA	0	1.0603	NA	NA
k141_2685234	48874	No terminal repeats	50	11	0.9823	NA	0	5.445	NA	NA
k141_903754	47038	No terminal repeats	45	11	0.9533	NA	0	1.9459	NA	NA
k141_840038	46211	No terminal repeats	46	11	0.933	NA	0	3.6158	NA	NA
k141_829413	44814	No terminal repeats	45	11	0.7913	NA	0	1.8473	NA	NF012171
k141_2029386	44619	No terminal repeats	41	11	0.9404	NA	0	2.3128	NA	NF033087
k141_326715	42340	No terminal repeats	36	11	0.85	NA	0	0.3568	NA	NA
k141_2500955	40664	No terminal repeats	36	11	0.9889	NA	0	4.7095	NA	NA
k141_2209693	40335	No terminal repeats	33	11	0.8954	NA	0	0.0137	NA	NF012174
k141_2765882	39302	No terminal repeats	41	11	0.9654	NA	0	5.0837	NA	NA
k141_3128255	37974	No terminal repeats	39	11	0.8567	NA	0	2.9422	NA	NA
k141_441400	37731	No terminal repeats	33	11	0.9246	NA	0	2.4813	NA	NA
k141_2180541	36962	No terminal repeats	35	11	0.8162	NA	0	2.1498	NA	NF000496
k141_2798329	36847	No terminal repeats	38	11	0.8431	NA	0	2.3842	NA	NA
k141_1584397	36405	No terminal repeats	30	11	0.8923	NA	0	0.8271	NA	NF000402
k141_1925114	36214	No terminal repeats	35	11	0.9176	NA	0	2.2857	NA	NA
k141_1877127	35404	No terminal repeats	34	11	0.9883	NA	0	9.2067	NA	NF012178;NF000272
k141_3404583	35240	No terminal repeats	32	11	0.7157	NA	0	0.5006	NA	NA
k141_838649	34115	No terminal repeats	31	11	0.9599	NA	0	2.2211	NA	NA
k141_731651	33993	No terminal repeats	34	11	0.8138	NA	0	6.5264	NA	NA
k141_2945867	33942	No terminal repeats	34	11	0.9629	NA	0	3.088	NA	NA
k141_3187618	33442	No terminal repeats	33	11	0.7225	NA	0	2.7146	NA	NF000496
k141_3131542	33151	No terminal repeats	32	11	0.7768	NA	0	4.1048	NA	NF033135;NF033105
k141_3669300	32829	No terminal repeats	27	11	0.7764	NA	0	0.5786	NA	NA
k141_2164491	32779	No terminal repeats	32	11	0.9859	NA	0	1.6776	NA	NA
k141_133451	32468	No terminal repeats	41	11	0.9263	NA	0	0.8172	NA	NA
k141_554567	31155	No terminal repeats	41	11	0.9885	NA	0	5.5634	NA	NA
k141_2690103	30112	No terminal repeats	26	11	0.8532	NA	0	2.7143	NA	NA
k141_58135	30006	No terminal repeats	33	11	0.9441	NA	1	1.577	NA	NA
k141_2461018	29987	No terminal repeats	27	11	0.922	NA	0	0.5414	NA	NA
k141_2161339	29843	No terminal repeats	36	11	0.9745	NA	0	8.0952	NA	NA
k141_1003646	29806	No terminal repeats	27	11	0.7262	NA	0	0.5727	NA	NF000095
k141_1492488	29730	No terminal repeats	27	11	0.7894	NA	0	2.2547	NA	NF012174
k141_1863790	29622	No terminal repeats	33	11	0.985	NA	0	4.85	NA	NA
k141_198966	29371	No terminal repeats	26	11	0.9754	NA	0	0.7556	NA	NA
k141_605716	29248	No terminal repeats	32	11	0.9461	NA	1	9.784	NA	NA
k141_1964273	28821	No terminal repeats	26	11	0.7533	NA	0	0.5087	NA	NA
k141_361004	28748	No terminal repeats	27	11	0.9421	NA	0	2.2348	NA	NA
k141_570383	28350	No terminal repeats	21	11	0.9591	NA	2	9.4572	NA	NA
k141_2795315	28132	No terminal repeats	23	11	0.8887	NA	0	1.5292	NA	NA
k141_787069	27942	No terminal repeats	26	11	0.9198	NA	0	3.909	NA	NF033105;NF033476;NF000493
k141_2819555	27603	No terminal repeats	27	11	0.867	NA	0	0.4114	NA	NA
k141_2207683	27576	No terminal repeats	25	11	0.864	NA	0	1.9075	NA	NA
k141_1196382	27115	No terminal repeats	29	11	0.8445	NA	0	0.0238	NA	NA
k141_485671	27041	No terminal repeats	27	11	0.9721	NA	0	0.323	NA	NA
k141_2367448	26800	No terminal repeats	27	11	0.8451	NA	0	1.5122	NA	NA
k141_1047035	26109	No terminal repeats	30	11	0.8917	NA	0	0.5034	NA	NA
k141_2620714	24840	No terminal repeats	25	11	0.9796	NA	0	4.1389	NA	NA
k141_2357107	24506	No terminal repeats	31	11	0.9872	NA	1	3.0241	NA	NA
k141_2918464	24493	No terminal repeats	25	11	0.9494	NA	0	1.2871	NA	NF033117
k141_1991403	24419	DTR	40	11	0.752	NA	0	0.6201	NA	NA
k141_268062	24417	No terminal repeats	33	11	0.9881	NA	0	10.2029	NA	NA
k141_178458	24287	No terminal repeats	22	11	0.8979	NA	0	0.9446	NA	NA
k141_3343959	24198	No terminal repeats	22	11	0.9054	NA	0	0.4668	NA	NF033134
k141_705630	24163	No terminal repeats	17	11	0.9295	NA	0	0.3778	NA	NA
k141_3237046	24091	No terminal repeats	20	11	0.9472	NA	0	1.4252	NA	NA
k141_2930155	23952	No terminal repeats	19	11	0.8878	NA	0	3.1946	NA	NA
k141_70113	23943	No terminal repeats	24	11	0.908	NA	0	0.2875	NA	NF000402
k141_3684214	23846	No terminal repeats	41	11	0.9724	NA	0	0.2527	NA	NA
k141_2456844	23803	No terminal repeats	23	11	0.8637	NA	0	0.2334	NA	NF012174;NF000138
k141_1403023	23742	No terminal repeats	22	11	0.8982	NA	0	0.4782	NA	NA
k141_104090	23509	No terminal repeats	23	11	0.9606	NA	0	4.347	NA	NF033134
k141_572279	23347	No terminal repeats	23	11	0.9614	NA	0	7.1268	NA	NA
k141_2701418	23205	No terminal repeats	29	11	0.9662	NA	0	6.8191	NA	NA
k141_1251711	23107	No terminal repeats	27	11	0.9872	NA	0	4.301	NA	NA
k141_729714	22720	No terminal repeats	20	11	0.9654	NA	0	0.5876	NA	NA
k141_1704092	22634	No terminal repeats	26	11	0.9841	NA	0	13.9028	NA	NA
k141_1568204	22427	No terminal repeats	18	11	0.9591	NA	0	1.1865	NA	NA
k141_339709	22296	No terminal repeats	20	11	0.8828	NA	0	0.347	NA	NA
k141_2418262	22080	No terminal repeats	20	11	0.8328	NA	0	0.6123	NA	NA
k141_1267830	21957	No terminal repeats	42	11	0.8635	NA	0	0.6547	NA	NA
k141_2010037	21763	No terminal repeats	23	11	0.9818	NA	0	3.3425	NA	NA
k141_2630500	21742	No terminal repeats	23	11	0.9218	NA	0	2.0945	NA	NA
k141_2808613	21662	No terminal repeats	19	11	0.9246	NA	0	0.81	NA	NA
k141_3454488	21604	No terminal repeats	14	11	0.8828	NA	0	1.5842	NA	NA
k141_2909276	21548	No terminal repeats	21	11	0.8053	NA	0	1.0815	NA	NA
k141_2506004	21498	No terminal repeats	23	11	0.9342	NA	0	1.9234	NA	NF012174
k141_3099853	21481	No terminal repeats	11	11	0.9237	NA	0	0.2304	NA	NA
k141_2815468	21258	No terminal repeats	17	11	0.7121	NA	0	2.5848	NA	NA
k141_1148476	21203	No terminal repeats	21	11	0.9049	NA	0	0.513	NA	NA
k141_3477657	21172	No terminal repeats	20	11	0.9527	NA	0	2.181	NA	NA
k141_2318677	21161	No terminal repeats	22	11	0.7683	NA	1	1.6031	NA	NA
k141_2326103	21087	No terminal repeats	16	11	0.9013	NA	0	1.1818	NA	NA
k141_607074	21026	No terminal repeats	16	11	0.9141	NA	0	0.6667	NA	NA
k141_733289	20915	No terminal repeats	26	11	0.9724	NA	0	1.2994	NA	NA
k141_3358665	20804	No terminal repeats	23	11	0.9112	NA	0	2.9465	NA	NF033088
k141_3462446	20732	No terminal repeats	22	11	0.81	NA	0	2.4297	NA	NA
k141_979157	20731	No terminal repeats	21	11	0.9409	NA	0	1.3537	NA	NA
k141_399954	20616	No terminal repeats	21	11	0.9761	NA	0	2.8795	NA	NA
k141_1256245	20528	No terminal repeats	18	11	0.9877	NA	0	3.3106	NA	NA
k141_1130612	20525	No terminal repeats	23	11	0.7408	NA	0	1.3412	NA	NF033105
k141_1978048	20306	No terminal repeats	19	11	0.9563	NA	0	1.3432	NA	NA
k141_3760256	20124	ITR	18	11	0.8489	NA	0	1.5448	NA	NF033105;NF033105
k141_1021088	19992	No terminal repeats	18	11	0.9025	NA	0	1.7489	NA	NF012174
k141_3093131	19940	No terminal repeats	16	11	0.972	NA	0	1.8957	NA	NA
k141_1704243	19709	No terminal repeats	21	11	0.9693	NA	0	3.463	NA	NA
k141_1460416	19666	No terminal repeats	24	11	0.9763	NA	1	3.4119	NA	NA
k141_473291	19640	No terminal repeats	25	11	0.9779	NA	0	2.9302	NA	NA
k141_224551	19605	No terminal repeats	23	11	0.9872	NA	0	3.5113	NA	NA
k141_2098311	19550	No terminal repeats	20	11	0.904	NA	0	1.7	NA	NA
k141_685085	19414	No terminal repeats	18	11	0.7669	NA	0	3.1409	NA	NA
k141_1265724	19306	No terminal repeats	13	11	0.873	NA	0	0.9459	NA	NA
k141_1795188	19168	No terminal repeats	21	11	0.8754	NA	0	0.9844	NA	NA
k141_896123	19125	No terminal repeats	18	11	0.9279	NA	0	0.2413	NA	NF033105
k141_1390177	18957	No terminal repeats	15	11	0.7833	NA	0	0	NA	NA
k141_1843769	18937	No terminal repeats	18	11	0.8046	NA	0	0.9834	NA	NA
k141_378620	18892	No terminal repeats	11	11	0.7144	NA	0	1.1476	NA	NA
k141_1999153	18671	No terminal repeats	16	11	0.8431	NA	0	0.7841	NA	NA
k141_3782660	18642	No terminal repeats	20	11	0.9552	NA	0	4.9214	NA	NA
k141_2149685	18637	No terminal repeats	19	11	0.8028	NA	0	0.9063	NA	NA
k141_622971	18577	No terminal repeats	12	11	0.9573	NA	0	1.2349	NA	NA
k141_2936265	18449	No terminal repeats	20	11	0.7435	NA	0	0.8273	NA	NF033105
k141_3756777	18427	No terminal repeats	18	11	0.832	NA	0	0.9898	NA	NA
k141_1018591	18386	No terminal repeats	22	11	0.9183	NA	0	1.2095	NA	NA
k141_1906455	18354	No terminal repeats	15	11	0.9831	NA	0	4.1119	NA	NA
k141_676490	18261	No terminal repeats	21	11	0.9674	NA	0	1.3323	NA	NA
k141_980901	18254	No terminal repeats	23	11	0.9344	NA	0	0.9611	NA	NA
k141_1444092	18225	No terminal repeats	16	11	0.978	NA	1	3.3371	NA	NA
k141_1492534	18139	No terminal repeats	17	11	0.8128	NA	0	0.2753	NA	NA
k141_1341633	18000	No terminal repeats	21	11	0.9734	NA	0	5.4776	NA	NA
k141_276074	17873	No terminal repeats	19	11	0.9877	NA	0	4.5858	NA	NA
k141_972281	17865	No terminal repeats	13	11	0.9461	NA	0	2.0356	NA	NA
k141_136039	17851	No terminal repeats	18	11	0.9686	NA	0	3.7534	NA	NF033087
k141_354013	17819	No terminal repeats	24	11	0.8615	NA	0	0.5819	NA	NA
k141_3647158	17698	No terminal repeats	17	11	0.9625	NA	0	2.3428	NA	NF000272
k141_289345	17650	No terminal repeats	22	11	0.9856	NA	0	1.8984	NA	NF000095
k141_2468765	17557	No terminal repeats	17	11	0.9217	NA	0	1.3492	NA	NA
k141_3035853	17525	No terminal repeats	18	11	0.9535	NA	0	1.4588	NA	NA
k141_2440152	17314	No terminal repeats	19	11	0.924	NA	0	1.2138	NA	NA
k141_2052357	17160	No terminal repeats	13	11	0.8468	NA	0	0.0869	NA	NA
k141_3120250	17128	No terminal repeats	9	11	0.9161	NA	0	1.6897	NA	NA
k141_2871959	17044	No terminal repeats	19	11	0.987	NA	0	2.9367	NA	NA
k141_2204619	17025	No terminal repeats	14	11	0.7576	NA	0	1.3382	NA	NF012174
k141_3224525	16989	No terminal repeats	14	11	0.9769	NA	0	0.7239	NA	NA
k141_2982657	16885	No terminal repeats	15	11	0.9033	NA	0	2.4067	NA	NA
k141_1600432	16814	No terminal repeats	24	11	0.9809	NA	0	0.6079	NA	NF033135
k141_2029804	16735	No terminal repeats	14	11	0.9885	NA	0	2.5472	NA	NA
k141_2505742	16731	No terminal repeats	23	11	0.8043	NA	0	0.3464	NA	NA
k141_3740774	16719	No terminal repeats	16	11	0.8564	NA	0	0.1552	NA	NA
k141_3345519	16665	No terminal repeats	18	11	0.892	NA	0	1.4149	NA	NA
k141_1911355	16585	No terminal repeats	16	11	0.9168	NA	0	0.9343	NA	NA
k141_1494221	16506	No terminal repeats	20	11	0.9129	NA	0	0.1486	NA	NF033105
k141_2858188	16501	No terminal repeats	20	11	0.9807	NA	0	4.0388	NA	NA
k141_303534	16445	No terminal repeats	12	11	0.9691	NA	0	0.5511	NA	NA
k141_2084975	16398	No terminal repeats	17	11	0.9301	NA	0	2.3068	NA	NA
k141_2666204	16369	No terminal repeats	16	11	0.9916	NA	0	3.1302	NA	NA
k141_428724	16361	No terminal repeats	17	11	0.8922	NA	0	1.1697	NA	NA
k141_304760	16324	No terminal repeats	15	11	0.9268	NA	0	0.3463	NA	NF000496
k141_1961934	16264	No terminal repeats	17	11	0.9592	NA	0	1.8369	NA	NF033105
k141_1094798	16258	No terminal repeats	21	11	0.9566	NA	0	2.2005	NA	NA
k141_757185	16128	No terminal repeats	15	11	0.9691	NA	0	1.6629	NA	NA
k141_1310744	16066	No terminal repeats	25	11	0.9893	NA	2	4.3362	NA	NA
k141_1897684	16035	No terminal repeats	16	11	0.7937	NA	0	1.5818	NA	NA
k141_1157847	15996	No terminal repeats	18	11	0.9345	NA	0	0.5988	NA	NA
k141_662887	15819	No terminal repeats	14	11	0.9745	NA	0	2.3752	NA	NA
k141_1438383	15819	No terminal repeats	15	11	0.8217	NA	0	2.0886	NA	NA
k141_250558	15730	No terminal repeats	19	11	0.925	NA	0	3.1771	NA	NA
k141_2861002	15661	No terminal repeats	14	11	0.7898	NA	0	0.0367	NA	NA
k141_2571614	15535	No terminal repeats	15	11	0.9864	NA	0	4.1977	NA	NA
k141_308812	15512	No terminal repeats	15	11	0.8229	NA	0	2.7803	NA	NA
k141_678236	15506	No terminal repeats	19	11	0.7665	NA	0	1.3984	NA	NA
k141_2064315	15425	No terminal repeats	19	11	0.9523	NA	0	2.1212	NA	NA
k141_1739467	15407	No terminal repeats	15	11	0.9269	NA	0	0.3039	NA	NA
k141_1130422	15393	No terminal repeats	8	11	0.8972	NA	0	1.7183	NA	NA
k141_907608	15388	No terminal repeats	14	11	0.7167	NA	0	0.1119	NA	NA
k141_431235	15353	No terminal repeats	17	11	0.8846	NA	0	1.169	NA	NA
k141_345518	15313	No terminal repeats	18	11	0.7483	NA	0	0.1322	NA	NF033117
k141_539717	15298	No terminal repeats	14	11	0.9875	NA	0	1.4137	NA	NA
k141_2890038	15278	No terminal repeats	17	11	0.9706	NA	0	2.1828	NA	NA
k141_209602	15271	No terminal repeats	15	11	0.7944	NA	0	0.8322	NA	NA
